,battingPoints,bowlingPoints,fieldingPoints,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
188,85,0,0,7902,108,suryakumar-yadav,mi,0,0,0
189,0,45,0,7902,181,dan-christian,dd,0,0,0
190,-5,0,10,7902,210,kieron-pollard,mi,0,0,10
191,30,15,0,7902,282,glenn-maxwell,dd,30,0,0
192,4,-4,0,7902,588,akila-dananjaya,mi,0,-4,0
193,76,0,0,7902,872,evin-lewis,mi,0,0,0
194,0,62,0,7902,969,trent-boult,dd,0,0,0
195,0,0,0,7902,1083,vijay-shankar,dd,0,0,0
196,0,19,0,7902,1124,jasprit-bumrah,mi,0,19,0
197,44,0,10,7902,1563,shreyas-iyer,dd,44,0,0
198,0,41,0,7902,1594,mustafizur-rahman,mi,0,41,0
199,0,63,10,7902,1749,rahul-tewatia,dd,0,0,0
200,143,0,20,7902,1906,jason-roy,dd,143,0,0
201,2,-13,10,7902,2740,hardik-pandya,mi,0,-13,10
202,71,0,0,7902,2972,rishabh-pant,dd,71,0,0
203,68,0,0,7902,2975,ishan-kishan,mi,0,0,0
204,16,68,0,7902,3183,krunal-pandya,mi,0,68,0
205,4,-13,0,7902,4951,mayank-markande,mi,0,-13,0
206,34,0,20,7903,16,wriddhiman-saha,sh,34,0,0
207,7,0,0,7903,41,shikhar-dhawan,sh,7,0,0
208,0,45,0,7903,76,piyush-chawla,kkr,0,45,0
209,34,0,0,7903,96,yusuf-pathan,sh,34,0,0
210,46,0,10,7903,102,dinesh-karthik,kkr,0,0,10
211,0,103,10,7903,116,bhuvneshwar-kumar,sh,0,0,0
212,4,0,20,7903,123,manish-pandey,sh,4,0,0
213,3,0,0,7903,127,robin-uthappa,kkr,0,0,0
214,11,-11,10,7903,177,andre-russell,kkr,0,-11,10
215,66,0,0,7903,179,chris-lynn,kkr,0,0,0
216,44,71,20,7903,201,shakib-al-hasan,sh,44,0,0
217,9,76,0,7903,203,sunil-narine,kkr,0,76,0
218,4,34,0,7903,213,mitchell-johnson,kkr,0,34,0
219,0,38,0,7903,261,kuldeep-yadav,kkr,0,38,0
220,77,0,10,7903,440,kane-williamson,sh,77,0,0
221,0,35,0,7903,1086,siddarth-kaul,sh,0,0,0
222,0,75,0,7903,1521,billy-stanlake,sh,0,0,0
223,5,0,0,7903,1556,deepak-hooda,sh,5,0,0
224,25,0,0,7903,2738,nitish-rana,kkr,0,0,0
225,0,15,0,7903,2885,rashid-khan,sh,0,0,0
226,3,0,0,7903,3761,shubman-gill,kkr,0,0,0
227,7,6,0,7903,3779,shivam-mavi,kkr,0,6,0
228,3,-13,0,7904,53,pawan-negi,rcb,3,0,0
229,0,-10,10,7904,59,umesh-yadav,rcb,0,0,0
230,69,0,0,7904,72,mandeep-singh,rcb,69,0,0
231,0,-8,20,7904,86,jaydev-unadkat,rr,0,-8,20
232,0,-14,0,7904,101,dhawal-kulkarni,rr,0,-14,0
233,0,72,0,7904,111,yuzvendra-chahal,rcb,0,0,0
234,58,0,0,7904,135,ajinkya-rahane,rr,0,0,0
235,91,0,10,7904,164,virat-kohli,rcb,91,0,0
236,4,0,0,7904,202,brendon-mccullum,rcb,4,0,0
237,27,0,0,7904,233,ab-de-villiers,rcb,27,0,0
238,157,0,0,7904,258,sanju-samson,rr,0,0,0
239,35,0,10,7904,509,jos-buttler,rr,0,0,10
240,41,0,10,7904,834,quinton-de-kock,rcb,41,0,0
241,0,15,0,7904,921,ben-laughlin,rr,0,15,0
242,0,47,0,7904,967,chris-woakes,rcb,0,0,0
243,44,17,10,7904,1154,ben-stokes,rr,0,17,10
244,0,71,0,7904,1748,shreyas-gopal,rr,0,71,0
245,61,17,0,7904,2973,washington-sundar,rcb,61,0,0
246,0,33,0,7904,3834,krishnappa-gowtham,rr,0,33,0
247,0,-11,0,7904,3835,kulwant-khejroliya,rcb,0,0,0
248,31,0,0,7904,3838,rahul-tripathi,rr,0,0,0
249,-4,26,10,7904,3887,d-arcy-short,rr,0,26,10
250,129,0,20,7905,1,ms-dhoni,csk,129,0,0
251,19,0,0,7905,7,murali-vijay,csk,19,0,0
252,21,36,20,7905,8,ravichandran-ashwin,kxp,0,36,20
253,26,0,20,7905,9,ravindra-jadeja,csk,26,0,0
254,1,29,10,7905,25,dwayne-bravo,csk,1,0,0
255,66,0,0,7905,100,ambati-rayudu,csk,66,0,0
256,0,18,0,7905,103,harbhajan-singh,csk,0,0,0
257,32,5,0,7905,113,yuvraj-singh,kxp,0,5,0
258,0,-7,0,7905,140,deepak-chahar,csk,0,0,0
259,54,0,0,7905,158,mayank-agarwal,kxp,0,0,0
260,-5,0,0,7905,167,aaron-finch,kxp,0,0,0
261,16,33,0,7905,227,shane-watson,csk,16,0,0
262,101,0,0,7905,236,chris-gayle,kxp,0,0,0
263,51,0,0,7905,276,karun-nair,kxp,0,0,0
264,0,66,10,7905,898,imran-tahir,csk,0,0,0
265,0,18,0,7905,1107,mohit-sharma,kxp,0,18,0
266,57,0,0,7905,1125,lokesh-rahul,kxp,0,0,0
267,3,45,0,7905,1480,andrew-tye,kxp,0,45,0
268,0,44,0,7905,1745,shardul-thakur,csk,0,0,0
269,0,15,20,7905,2746,barinder-sran,kxp,0,15,20
270,9,0,0,7905,2756,sam-billings,csk,9,0,0
271,0,15,0,7905,4572,mujeeb-ur-rahman,kxp,0,15,0
272,6,17,10,7906,57,shahbaz-nadeem,dd,6,0,0
273,0,35,10,7906,76,piyush-chawla,kkr,0,35,10
274,8,0,10,7906,84,gautam-gambhir,dd,8,0,0
275,7,10,0,7906,94,mohammed-shami,dd,7,0,0
276,31,0,15,7906,102,dinesh-karthik,kkr,0,0,15
277,61,0,10,7906,127,robin-uthappa,kkr,0,0,10
278,78,10,20,7906,177,andre-russell,kkr,0,10,20
279,48,0,0,7906,179,chris-lynn,kkr,0,0,0
280,1,96,0,7906,203,sunil-narine,kkr,0,96,0
281,0,91,10,7906,261,kuldeep-yadav,kkr,0,91,10
282,80,0,20,7906,282,glenn-maxwell,dd,80,0,0
283,2,51,10,7906,836,chris-morris,dd,2,0,0
284,0,93,10,7906,969,trent-boult,dd,0,0,0
285,2,-8,0,7906,1083,vijay-shankar,dd,2,0,0
286,4,0,0,7906,1563,shreyas-iyer,dd,4,0,0
287,1,100,0,7906,1749,rahul-tewatia,dd,1,0,0
288,1,0,10,7906,1906,jason-roy,dd,1,0,0
289,97,0,10,7906,2738,nitish-rana,kkr,0,0,10
290,65,0,10,7906,2972,rishabh-pant,dd,65,0,0
291,2,14,0,7906,3646,tom-curran,kkr,0,14,0
292,6,0,0,7906,3761,shubman-gill,kkr,0,0,0
293,0,36,0,7906,3779,shivam-mavi,kkr,0,36,0
294,1,65,0,7907,59,umesh-yadav,rcb,1,0,0
295,21,0,0,7907,72,mandeep-singh,rcb,21,0,0
296,144,0,10,7907,107,rohit-sharma,mi,0,0,10
297,-5,0,10,7907,108,suryakumar-yadav,mi,0,0,10
298,0,-3,0,7907,111,yuzvendra-chahal,rcb,0,0,0
299,135,0,0,7907,164,virat-kohli,rcb,135,0,0
300,5,0,0,7907,210,kieron-pollard,mi,0,0,0
301,1,0,10,7907,233,ab-de-villiers,rcb,1,0,0
302,0,64,0,7907,730,mitchell-mcclenaghan,mi,0,64,0
303,31,0,10,7907,834,quinton-de-kock,rcb,31,0,0
304,105,0,0,7907,872,evin-lewis,mi,0,0,0
305,18,19,20,7907,967,chris-woakes,rcb,18,0,0
306,-5,50,20,7907,968,corey-anderson,rcb,-5,0,0
307,0,72,0,7907,1124,jasprit-bumrah,mi,0,72,0
308,5,0,0,7907,1564,sarfaraz-khan,rcb,5,0,0
309,0,-12,0,7907,1594,mustafizur-rahman,mi,0,-12,0
310,36,17,10,7907,2740,hardik-pandya,mi,0,17,10
311,7,-13,0,7907,2973,washington-sundar,rcb,7,0,0
312,-5,0,15,7907,2975,ishan-kishan,mi,0,0,15
313,22,99,10,7907,3183,krunal-pandya,mi,0,99,10
314,10,16,0,7907,3840,mohammed-siraj,rcb,10,0,0
315,0,39,0,7907,4951,mayank-markande,mi,0,39,0
316,0,45,0,7908,76,piyush-chawla,kkr,0,0,0
317,0,-6,10,7908,86,jaydev-unadkat,rr,0,-6,10
318,3,10,0,7908,101,dhawal-kulkarni,rr,0,10,0
319,66,0,15,7908,102,dinesh-karthik,kkr,66,0,0
320,67,0,0,7908,127,robin-uthappa,kkr,67,0,0
321,58,0,0,7908,135,ajinkya-rahane,rr,0,0,0
322,0,0,10,7908,177,andre-russell,kkr,0,0,0
323,-5,0,0,7908,179,chris-lynn,kkr,-5,0,0
324,52,-4,0,7908,203,sunil-narine,kkr,52,0,0
325,7,0,0,7908,258,sanju-samson,rr,0,0,0
326,0,39,10,7908,261,kuldeep-yadav,kkr,0,0,0
327,29,0,0,7908,509,jos-buttler,rr,0,0,0
328,0,10,0,7908,921,ben-laughlin,rr,0,10,0
329,21,9,10,7908,1154,ben-stokes,rr,0,9,10
330,-5,17,0,7908,1748,shreyas-gopal,rr,0,17,0
331,52,64,10,7908,2738,nitish-rana,kkr,52,0,0
