,battingPoints,bonusPoints,bowlingPoints,fieldingPoints,matchDesc,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
128,0,10,59,0,rr vs dd,7899,921,Ben Laughlin (rr),rr,0,59,0
129,0,15,34,0,rr vs dd,7899,969,Trent Boult (dd),dd,0,0,0
130,3,15,0,10,rr vs dd,7899,1083,Vijay Shankar (dd),dd,3,0,0
131,23,15,0,10,rr vs dd,7899,1154,Ben Stokes (rr),rr,0,0,10
132,0,40,0,0,rr vs dd,7899,1563,Shreyas Iyer (dd),dd,0,0,0
133,0,15,0,0,rr vs dd,7899,1748,Shreyas Gopal (rr),rr,0,0,0
134,0,10,16,0,rr vs dd,7899,1749,Rahul Tewatia (dd),dd,0,0,0
135,25,40,0,10,rr vs dd,7899,2972,Rishabh Pant (dd),dd,25,0,0
136,2,15,7,20,rr vs dd,7899,3834,Krishnappa Gowtham (rr),rr,0,7,20
137,22,15,0,0,rr vs dd,7899,3838,Rahul Tripathi (rr),rr,0,0,0
138,6,10,0,0,rr vs dd,7899,3887,D Arcy Short (rr),rr,0,0,0
139,0,0,0,0,rr vs dd,7899,148,Stuart Binny (rr),rr,0,0,0
140,27,35,0,0,sh vs mi,7900,16,Wriddhiman Saha (sh),sh,27,0,0
141,65,60,0,10,sh vs mi,7900,41,Shikhar Dhawan (sh),sh,65,0,0
142,0,0,10,0,sh vs mi,7900,91,Pradeep Sangwan (mi),mi,0,10,0
143,19,35,0,10,sh vs mi,7900,96,Yusuf Pathan (sh),sh,19,0,0
144,18,70,0,10,sh vs mi,7900,107,Rohit Sharma (mi),mi,0,0,10
145,30,45,0,0,sh vs mi,7900,108,Suryakumar Yadav (mi),mi,0,0,0
146,16,35,0,0,sh vs mi,7900,123,Manish Pandey (sh),sh,16,0,0
147,17,35,34,10,sh vs mi,7900,201,Shakib Al Hasan (sh),sh,17,0,0
148,47,5,0,10,sh vs mi,7900,210,Kieron Pollard (mi),mi,0,0,10
149,6,85,0,10,sh vs mi,7900,440,Kane Williamson (sh),sh,6,0,0
150,53,20,0,0,sh vs mi,7900,872,Evin Lewis (mi),mi,0,0,0
151,9,15,9,0,sh vs mi,7900,913,Ben Cutting (mi),mi,0,9,0
